URL,Artist,Album,Date
http://pitchfork.com/news/28186-james-murphy-nelly-furtado-on-fucked-up-holiday-7/,"James Murphy, Nelly Furtado on Fucked Up Holiday 7""",Paul Thompson,26.11.2007
http://pitchfork.com/news/28238-rip-ugks-pimp-c/,R.I.P. UGK's Pimp C,Paul Thompson,04.12.2007
http://pitchfork.com/news/28256-camel-irolling-stonei-under-fire-for-indie-rock-ad/,"Camel, Rolling Stone Under Fire for Indie Rock Ad",Matthew Solarski,06.12.2007
http://pitchfork.com/news/28290-bradford-cox-publicly-apologizes-to-samara-lubelski/,Bradford Cox Publicly Apologizes to Samara Lubelski,Matthew Solarski,12.12.2007
http://pitchfork.com/news/28295-kevin-barnes-jeff-mangum-in-wacky-elephant-6-movie/,"Kevin Barnes, Jeff Mangum in Wacky Elephant 6 Movie",Matthew Solarski,13.12.2007
http://pitchfork.com/news/28311-kim-deal-talks-new-breeders-album-pixies-german/,"Kim Deal Talks New Breeders Album, Pixies, German",Dave Maher,14.12.2007
http://pitchfork.com/news/28314-indie-bands-sue-camel-irolling-stonei-over-ad/,"Indie Bands Sue Camel, Rolling Stone Over Ad",Matthew Solarski,18.12.2007
http://pitchfork.com/news/28323-evan-farrell-magnolia-electric-corogue-wave-rip/,Evan Farrell (Magnolia Electric Co./Rogue Wave) R.I.P.,Matthew Solarski,02.01.2008
http://pitchfork.com/news/28350-shins-crandall-girlfriend-arrested-for-domestic-assault/,"Shins' Crandall, Girlfriend Arrested for Domestic Assault",Matthew Solarski,06.01.2008
http://pitchfork.com/news/28368-marty-crandall-domestic-abuse-case-dismissed/,Marty Crandall Domestic Abuse Case Dismissed,Matthew Solarski,08.01.2008
http://pitchfork.com/news/28428-karen-o-pens-tunes-for-jonzeeggers-iwild-thingsi-film/,Karen O Pens Tunes for Jonze/Eggers Wild Things Film,Matthew Solarski,16.01.2008
http://pitchfork.com/news/28474-the-heath-ledgernick-drake-connection/,The Heath Ledger/Nick Drake Connection,Matthew Solarski,23.01.2008
http://pitchfork.com/news/28510-rivers-cuomo-plays-in-celebrity-charity-soccer-game/,Rivers Cuomo Plays in Celebrity Charity Soccer Game,Paul Thompson,28.01.2008
http://pitchfork.com/news/28582-modest-mouse-working-on-new-ep/,Modest Mouse Working on New EP,Dave Maher,05.02.2008
http://pitchfork.com/news/28635-mark-linkous-discusses-the-state-of-sparklehorse/,Mark Linkous Discusses the State of Sparklehorse,Dave Maher,13.02.2008
http://pitchfork.com/news/28697-blitzen-trapper-release-itunes-tour-eps/,"Blitzen Trapper Release iTunes, Tour EPs",Dave Maher,20.02.2008
http://pitchfork.com/news/28771-blurs-rowntree-to-seek-parliament-seat/,Blur's Rowntree to Seek Parliament Seat,Paul Thompson,29.02.2008
http://pitchfork.com/news/28847-pitchforks-guide-to-sxsw-2008/,Pitchfork's Guide to SXSW 2008,Pitchfork Staff,12.03.2008
http://pitchfork.com/news/28869-sxsw-saturday-matthew-solarski/,SXSW: Saturday [Matthew Solarski],Matthew Solarski,17.03.2008
http://pitchfork.com/news/28871-sxsw-saturday-paul-thompson/,SXSW: Saturday [Paul Thompson],Paul Thompson,17.03.2008
http://pitchfork.com/news/28872-sxsw-saturday-tyler-grisham/,SXSW: Saturday [Tyler Grisham],Tyler Grisham,17.03.2008
http://pitchfork.com/news/28873-sxsw-saturday-amy-phillips-potentially-nsfw/,SXSW: Saturday [Amy Phillips] (Potentially NSFW),Amy Phillips,17.03.2008
http://pitchfork.com/news/28878-guide-to-pitchforks-sxsw-2008-coverage/,Guide to Pitchfork's SXSW 2008 Coverage,Matthew Solarski,17.03.2008
http://pitchfork.com/news/28933-smashing-pumpkins-sue-virgin-over-artistic-integrity/,"Smashing Pumpkins Sue Virgin Over ""Artistic Integrity""",Matthew Solarski,25.03.2008
http://pitchfork.com/news/28935-help-rivers-cuomo-write-a-new-sawng/,"Help Rivers Cuomo Write a New ""Sawng""!",Matthew Solarski,25.03.2008
http://pitchfork.com/news/28949-ichinese-democracyi-in-2008-free-dr-pepper-for-all/,Chinese Democracy in 2008? Free Dr. Pepper for All!,Paul Thompson,26.03.2008
http://pitchfork.com/news/28977-deerhunter-record-cox-joins-karen-o-for-iwild-thingsi/,"Deerhunter Record, Cox Joins Karen O for Wild Things",Paul Thompson,31.03.2008
http://pitchfork.com/news/29001-jay-z-signs-with-live-nation-for-a-bazillion-dollars/,Jay-Z Signs With Live Nation for a Bazillion Dollars,Amy Phillips,03.04.2008
http://pitchfork.com/news/29039-prefuse-73-forms-new-band-risil/,"Prefuse 73 Forms New Band, Risil",Paul Thompson,08.04.2008
http://pitchfork.com/news/29052-britt-daniel-isaac-brock-janet-weiss-in-music-doc/,"Britt Daniel, Isaac Brock, Janet Weiss in Music Doc",Dave Maher,09.04.2008
http://pitchfork.com/news/29112-polvos-ash-bowie-talks-reformation/,"Polvo's Ash Bowie Talks ""Reformation""",Dave Maher,17.04.2008
http://pitchfork.com/news/29129-pitchforks-guide-to-record-store-day/,Pitchfork's Guide to Record Store Day,Matthew Solarski,18.04.2008
http://pitchfork.com/news/29214-photos-menomenas-record-store-day-foosball-challenge-portland-or-041908/,"Photos: Menomena's Record Store Day Foosball Challenge [Portland, OR; 04/19/08]",Matthew Solarski,30.04.2008
http://pitchfork.com/news/29260-my-bloody-valentine-announce-north-american-tour/,My Bloody Valentine Announce North American Tour!,Matthew Solarski,06.05.2008
http://pitchfork.com/news/29318-neil-young-now-a-spider-plans-blu-ray-box-set/,"Neil Young, Now a Spider, Plans Blu-ray Box Set",Dave Maher,13.05.2008
http://pitchfork.com/news/29375-tom-waits-plays-the-devil-in-new-terry-gilliam-flick/,Tom Waits Plays the Devil in New Terry Gilliam Flick,Matthew Solarski,20.05.2008
http://pitchfork.com/news/29379-death-cab-for-cuties-inarrow-stairsi-debuts-at-1/,Death Cab for Cutie's Narrow Stairs Debuts at #1,Matthew Solarski,21.05.2008
http://pitchfork.com/news/29386-sonic-youth-reveal-starbucks-ihitsi-comp-details/,Sonic Youth Reveal Starbucks Hits Comp Details,Matthew Solarski,21.05.2008
http://pitchfork.com/news/29391-jena-malone-builds-instrument-starts-label-busks/,"Jena Malone Builds Instrument, Starts Label, Busks",Matthew Solarski,22.05.2008
http://pitchfork.com/news/29406-the-pitchfork-guide-to-summer-festivals-2008/,The Pitchfork Guide to Summer Festivals 2008,Dave Maher and Amy Phillips,23.05.2008
http://pitchfork.com/news/29464-oink-users-apparently-arrested-by-british-police/,OiNK Users Apparently Arrested by British Police,Matthew Solarski,02.06.2008
http://pitchfork.com/news/29509-scott-herren-preps-prefuse-savath-savalas-risil-lps/,"Scott Herren Preps Prefuse, Savath & Savalas, Risil LPs",Paul Thompson,06.06.2008
http://pitchfork.com/news/29634-jena-malones-shoe-maps-out-nyc-tour/,Jena Malone's Shoe Maps Out NYC Tour,Paul Thompson,29.06.2008
http://pitchfork.com/news/29637-the-shins-starting-own-label-for-next-album/,The Shins Starting Own Label for Next Album?,Paul Thompson,29.06.2008
http://pitchfork.com/news/29638-peter-hook-talks-new-order-split-dvd-joy-division/,"Peter Hook Talks New Order Split, DVD, Joy Division",Matthew Solarski,29.06.2008
http://pitchfork.com/news/29697-sufjan-lcd-newsom-feist-bss-inspire-coloring-book/,"Sufjan, LCD, Newsom, Feist, BSS Inspire Coloring Book",Matthew Solarski,01.07.2008
http://pitchfork.com/news/29733-shudder-to-think-announce-reunion-tour/,Shudder to Think Announce Reunion Tour,Dave Maher,08.07.2008
http://pitchfork.com/news/29798-jarvis-writing-music-for-wes-anderson-kids-movie/,Jarvis Writing Music for Wes Anderson Kids Movie,Paul Thompson,17.07.2008
http://pitchfork.com/news/29845-iha-darcy-sue-virgin-over-pumpkins-digital-royalties/,"Iha, D'Arcy Sue Virgin Over Pumpkins Digital Royalties",Matthew Solarski,25.07.2008
http://pitchfork.com/news/29846-blur-drummer-rowntree-loses-another-election/,Blur Drummer Rowntree Loses Another Election,Paul Thompson,25.07.2008
http://pitchfork.com/news/29870-photos-daniel-johnston-and-friends-dublin-ireland-072808/,"Photos: Daniel Johnston and Friends [Dublin, Ireland; 07/28/08]",Pitchfork Staff,29.07.2008
http://pitchfork.com/news/29890-lollapalooza-report-friday-amy-phillips/,Lollapalooza Report: Friday [Amy Phillips],Amy Phillips,02.08.2008
http://pitchfork.com/news/29900-lollapalooza-report-friday-scott-plagenhoef/,Lollapalooza Report: Friday [Scott Plagenhoef],Scott Plagenhoef,02.08.2008
http://pitchfork.com/news/29901-lollapalooza-report-friday-joshua-klein/,Lollapalooza Report: Friday [Joshua Klein],Joshua Klein,02.08.2008
http://pitchfork.com/news/29902-lollapalooza-report-friday-matthew-solarski/,Lollapalooza Report: Friday [Matthew Solarski],Matthew Solarski,02.08.2008
http://pitchfork.com/news/29903-lollapalooza-report-saturday-joshua-klein/,Lollapalooza Report: Saturday [Joshua Klein],Joshua Klein,03.08.2008
http://pitchfork.com/news/29904-lollapalooza-report-saturday-matthew-solarski/,Lollapalooza Report: Saturday [Matthew Solarski],Matthew Solarski,03.08.2008
http://pitchfork.com/news/29905-lollapalooza-report-saturday-amy-phillips/,Lollapalooza Report: Saturday [Amy Phillips],Amy Phillips,03.08.2008
http://pitchfork.com/news/29906-lollapalooza-report-sunday-amy-phillips/,Lollapalooza Report: Sunday [Amy Phillips],Amy Phillips,03.08.2008
http://pitchfork.com/news/29907-lollapalooza-report-sunday-joshua-klein/,Lollapalooza Report: Sunday [Joshua Klein],Joshua Klein,04.08.2008
http://pitchfork.com/news/29908-lollapalooza-report-sunday-matthew-solarski/,Lollapalooza Report: Sunday [Matthew Solarski],Matthew Solarski,04.08.2008
http://pitchfork.com/news/29909-lollapalooza-report-sunday-scott-plagenhoef/,Lollapalooza Report: Sunday [Scott Plagenhoef],Scott Plagenhoef,04.08.2008
http://pitchfork.com/news/29913-big-boi-welcomes-us-to-the-world-of-iluscious-left-footi/,Big Boi Welcomes Us to the World of Luscious Left Foot,Dave Maher,04.08.2008
http://pitchfork.com/news/29930-mia-responds-to-pro-terrorism-accusations/,M.I.A. Responds to Pro-Terrorism Accusations,Matthew Solarski,06.08.2008
http://pitchfork.com/news/29934-bassistkeyboardist-and-drummer-exit-wolfmother/,Bassist/Keyboardist and Drummer Exit Wolfmother,Matthew Solarski,07.08.2008
http://pitchfork.com/news/29945-dan-deacons-zany-round-robin-concept-tour-revealed/,Dan Deacon's Zany Round Robin Concept Tour Revealed,Matthew Solarski,08.08.2008
http://pitchfork.com/news/29956-photos-88boadrum-new-york-ny-080808/,"Photos: 88BoaDrum [New York, NY; 08/08/08]",Pitchfork Staff,11.08.2008
http://pitchfork.com/news/30011-wilco-death-cab-for-cutie-to-open-for-neil-young/,"Wilco, Death Cab for Cutie to Open for Neil Young",Paul Thompson,18.08.2008
http://pitchfork.com/news/30015-deerhunters-imicrocastlei-available-now-on-itunes/,Deerhunter's Microcastle Available Now on iTunes,Paul Thompson,19.08.2008
http://pitchfork.com/news/30021-bradford-cox-responds-to-leak-drama/,Bradford Cox Responds to Leak Drama,Amy Phillips,20.08.2008
http://pitchfork.com/news/30076-simian-mobile-disco-nab-gruff-rhys-beth-ditto-for-lp/,"Simian Mobile Disco Nab Gruff Rhys, Beth Ditto for LP",Paul Thompson,27.08.2008
http://pitchfork.com/news/30104-the-flaming-lips-do-you-realize-nominated-for-official-oklahoma-rock-song/,"The Flaming Lips' ""Do You Realize??"" Nominated for Official Oklahoma Rock Song",Paul Thompson,04.09.2008
http://pitchfork.com/news/30109-weezer-seek-fan-videos-for-tour-visuals/,Weezer Seek Fan Videos for Tour Visuals,Paul Thompson,05.09.2008
http://pitchfork.com/news/30118-art-bruts-argos-writes-about-comics-forms-bands/,"Art Brut's Argos Writes About Comics, Forms Bands",Paul Thompson and Amy Phillips,04.09.2008
http://pitchfork.com/news/30119-liz-phair-writing-music-for-new-90210/,"Liz Phair Writing Music for New ""90210""",Amy Phillips,04.09.2008
http://pitchfork.com/news/30120-michael-eric-dyson-to-edit-book-on-nas-iillmatici/,Michael Eric Dyson to Edit Book on Nas' Illmatic,Paul Thompson,04.09.2008
http://pitchfork.com/news/30121-sufjan-wins-prestigious-prize-for-his-bqe-thing/,"Sufjan Wins Prestigious Prize for His ""BQE"" Thing",Matthew Solarski,04.09.2008
http://pitchfork.com/news/30122-of-montreal-gigs-with-fiery-furnaces-laser-show/,"Of Montreal: Gigs With Fiery Furnaces, Laser Show!",Paul Thompson,04.09.2008
http://pitchfork.com/news/30123-a-place-to-bury-strangers-expand-tour/,A Place to Bury Strangers Expand Tour,Dave Maher,04.09.2008
http://pitchfork.com/news/30124-new-kanye-single-next-week-new-album-this-year/,New Kanye Single Next Week? New Album This Year?,Paul Thompson,04.09.2008
http://pitchfork.com/news/30125-radiohead-santa-barbara-show-coming-to-npr/,Radiohead Santa Barbara Show Coming to NPR,Dave Maher,05.09.2008
http://pitchfork.com/news/30126-grizzly-bear-national-gonzalez-play-inew-yorki-events/,"Grizzly Bear, National, Gonzalez Play New York Events",Paul Thompson,05.09.2008
http://pitchfork.com/news/30127-clap-your-hands-play-tuesdays-warm-up-for-new-lp/,"Clap Your Hands Play Tuesdays, Warm up for New LP",Paul Thompson,05.09.2008
http://pitchfork.com/news/30128-the-mountain-goats-team-with-kaki-king-for-new-ep/,The Mountain Goats Team With Kaki King for New EP,Paul Thompson,05.09.2008
http://pitchfork.com/news/30129-devendra-silver-jews-beach-house-play-forest-fest/,"Devendra, Silver Jews, Beach House Play Forest Fest",Paul Thompson and Amy Phillips,05.09.2008
http://pitchfork.com/news/30132-dude-bum-rushes-noel-gallagher-during-oasis-gig/,Dude Bum-Rushes Noel Gallagher During Oasis Gig,Matthew Solarski,08.09.2008
http://pitchfork.com/news/30133-sufjan-curates-all-nighter-with-st-vincent-nico-muhly/,"Sufjan Curates All-Nighter With St. Vincent, Nico Muhly",Matthew Solarski,08.09.2008
http://pitchfork.com/news/30134-oasis-update-noel-hospitalized-assailant-arrested/,"Oasis Update: Noel Hospitalized, Assailant Arrested",Matthew Solarski,08.09.2008
http://pitchfork.com/news/30135-thurston-moore-ian-mackaye-chat-at-brooklyn-festival/,"Thurston Moore, Ian MacKaye Chat at Brooklyn Festival",Dave Maher,08.09.2008
http://pitchfork.com/news/30136-sonic-youth-link-with-matador-for-next-album/,Sonic Youth Link With Matador for Next Album,Paul Thompson,09.09.2008
http://pitchfork.com/news/30138-saint-etienne-deliver-deluxe-ibest-ofi-new-single/,"Saint Etienne Deliver Deluxe Best of, New Single",Paul Thompson,09.09.2008
http://pitchfork.com/news/30139-oasis-postpone-tonights-show-due-to-noels-injuries/,Oasis Postpone Tonight's Show Due to Noel's Injuries,Matthew Solarski,09.09.2008
http://pitchfork.com/news/30140-japanese-blogger-replicates-album-artin-food/,Japanese Blogger Replicates Album Art...in Food!,Paul Thompson,09.09.2008
http://pitchfork.com/news/30141-roots-ladytron-mates-of-state-hit-yo-gabba-gabba/,"Roots, Ladytron, Mates of State Hit ""Yo Gabba Gabba!""",Dave Maher,09.09.2008
http://pitchfork.com/news/30142-mia-blogs-about-terrorism/,M.I.A. Blogs About Terrorism,Paul Thompson,09.09.2008
http://pitchfork.com/news/30143-elbow-win-2008-nationwide-mercury-prize/,Elbow Win 2008 Nationwide Mercury Prize,Matthew Solarski,09.09.2008
http://pitchfork.com/news/30144-bloc-party-unleash-talons-on-new-single/,"Bloc Party Unleash ""Talons"" on New Single",Paul Thompson,09.09.2008
http://pitchfork.com/news/30145-death-cab-gig-prize-in-voter-registration-competition/,Death Cab Gig Prize in Voter Registration Competition,Dave Maher,09.09.2008
http://pitchfork.com/news/30146-devendras-megapuss-reveals-album-details-tour/,"Devendra's Megapuss Reveals Album Details, Tour",Paul Thompson,09.09.2008
http://pitchfork.com/news/30147-new-kanye-album-gets-title-and-release-date-maybe/,"New Kanye Album Gets Title and Release Date, Maybe",Paul Thompson,10.09.2008
http://pitchfork.com/news/30148-rem-extend-tour-peter-bucks-guitar-stolen/,"R.E.M. Extend Tour, Peter Buck's Guitar Stolen",Matthew Solarski,10.09.2008
http://pitchfork.com/news/30149-calexico-kick-off-tour-with-added-dates-bowerbirds/,"Calexico Kick Off Tour With Added Dates, Bowerbirds",Dave Maher,10.09.2008
http://pitchfork.com/news/30150-common-renames-new-album-after-single/,Common Renames New Album After Single,Dave Maher,10.09.2008
http://pitchfork.com/news/30151-trail-of-dead-offer-new-ep-as-album-teaser/,Trail of Dead Offer New EP as Album Teaser,Dave Maher,10.09.2008
http://pitchfork.com/news/30152-jarvis-cocker-heads-up-rough-trade-anniversary-tour/,Jarvis Cocker Heads Up Rough Trade Anniversary Tour,Paul Thompson,10.09.2008
http://pitchfork.com/news/30153-jenny-lewis-kicks-off-tour/,Jenny Lewis Kicks Off Tour,Dave Maher,10.09.2008
http://pitchfork.com/news/30154-noise-rockers-team-up-for-pro-obama-site/,Noise Rockers Team Up for Pro-Obama Site,Paul Thompson,10.09.2008
http://pitchfork.com/news/30157-st-vincent-to-open-for-death-cab-for-cutie/,St. Vincent to Open for Death Cab for Cutie,Paul Thompson,04.09.2008
http://pitchfork.com/news/30158-pinback-add-more-fall-dates/,Pinback Add More Fall Dates,Dave Maher,04.09.2008
http://pitchfork.com/news/30159-the-bug-lines-up-world-tour/,The Bug Lines Up World Tour,Paul Thompson,05.09.2008
http://pitchfork.com/news/30160-the-sea-and-cake-line-up-fall-tour/,The Sea and Cake Line Up Fall Tour,Dave Maher,05.09.2008
http://pitchfork.com/news/30161-css-extend-tour-with-european-dates/,CSS Extend Tour With European Dates,Paul Thompson,09.09.2008
http://pitchfork.com/news/30162-franz-ferdinand-schedule-november-tour/,Franz Ferdinand Schedule November Tour,Dave Maher,09.09.2008
